Designator,Package,Quantity,Part,Digi-Key Part
"C1,C2,C3,C4,C6,C11",C2,6,0.1uF,490-5388-ND
C5,C1V8,1,100uF,P13459-ND
C7,C2,1,1uF,445-2858-ND
C8,C2,1,8.2pF,490-3764-ND
"C9,C10",C1V5,2,47uF,P13464-ND
"D2,D4,D6,D8,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,D30,D32,D33",LED-3MM,17,LED 3mm (red),754-1606-ND
"D1,D3,D5,D7,D9,D11,D13,D15,D17,D19,D21,D23,D25,D27,D29,D31,D34",D3,17,1N4004,641-1311-1-ND
"D35,D36,D37",LED-3MM,3,LED 3mm (green),754-1603-ND
"JP1,JP2,P20","SIL-2, SIL-6",10,header pins,A34253-40-ND
M1,XBEE,1,RN-XV,740-1044-ND
"P1-P17,P27",PP-2H-5MMSCREWTERM,18,5mm screw terminals or Anderson Powerpole connectors,ED2600-ND
P21,pin_array_3x2,3,2x header pins,A34344-40-ND
"R1,R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R36",R3,17,10k,10KQBK-ND
"R2,R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R37,R38,R39",R3,20,1k,1.0KQBK-ND
R33,R3,1,2.2k,2.2QBK-ND
R35,R3,1,4k,not in stock?!
SW1,SW-6MM-4PIN,1,momentary pushbutton,SW400-ND
U1-U17,DIP-6__300,17,4N35,516-1557-5-ND
U18,DIP-28__300,1,TLC5940,296-17732-5-ND
U19,SIL-3,1,MCP1700,MCP1700-3302E/TO-ND
U20,DIP-14__300,1,74AHC125,296-4531-5-ND
U21,7805,1,LM7805,LM7805CT-ND
U22,DIP-28__300,1,ATMEGA328,ATMEGA328P-PU-ND
"XM1A,XM1B",,2,10pin 2mm header,S5751-10-ND
XU1-XU17,6-DIP,17,6-DIP socket,A100203-ND
Y1,SIL-3,1,16MHz,490-1214-ND